,Location,Total sqft,price,area_type,availability,bhk,type,housing_type
735,Andheri West,1601,20.0,Plot  Area,Ready To Move,5,BHK,IndependentFloor
736,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
737,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
738,Nerul,2200,400.0,Super built-up  Area,Ready To Move,5,BHK,Apartment
739,Kandivali West,775,180.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
740,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
741,Ambernath West,960,40.0,Built-up  Area,Ready To Move,2,BHK,Apartment
742,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
743,Vasai West,1125,74.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
744,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
745,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
746,Palghar,530,20.25,Super built-up  Area,Ready To Move,1,BHK,Apartment
747,Mira Road East,1070,79.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
748,Napeansea Road,2250,1300.0,Built-up  Area,Ready To Move,3,BHK,Apartment
749,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
750,Neral,1450,75.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
751,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
752,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
753,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
754,Andheri West,651,20.0,Plot  Area,Ready To Move,1,BHK,Apartment
755,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
756,Dombivali East,305,15.0,Built-up  Area,Ready To Move,1,BHK,Apartment
757,Dombivali East,305,15.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
758,Dombivali East,305,15.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
759,Dombivali East,305,15.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
760,Dombivli (West),560,28.56,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
761,Andheri West,650,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
762,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
763,Ulwe,670,49.5,Super built-up  Area,Ready To Move,1,BHK,Apartment
764,Belapur,550,25.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
765,Kamothe,1065,100.0,Built-up  Area,Ready To Move,2,BHK,Apartment
766,Kalyan West,1075,77.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
767,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
768,Mira Road East,850,47.9,Super built-up  Area,Ready To Move,2,BHK,Apartment
769,Dombivali,864,66.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
770,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
771,Ambernath East,600,24.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
772,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
773,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
774,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
775,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
776,Andheri West,650,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
777,Andheri West,1600,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
778,Andheri West,1600,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
779,Andheri West,650,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
780,Napeansea Road,2250,1300.0,Plot  Area,Not Ready Yet,3,BHK,Apartment
781,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
782,Neral,1450,75.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
783,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
784,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
785,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
786,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
787,Nerul,2200,400.0,Super built-up  Area,Ready To Move,5,BHK,Apartment
788,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
789,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
790,Dombivali East,578,25.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
791,Dombivli (West),515,25.75,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
792,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
793,Vishnu Nagar,1300,74.1,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
794,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
795,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
796,Jogeshwari East,1685,375.0,Built-up  Area,Ready To Move,3,BHK,Apartment
797,Airoli,1800,280.0,Super built-up  Area,Ready To Move,4,BHK,Apartment
798,Andheri East,500,90.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
799,Anjurdive,660,66.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
800,Nilje Gaon,909,60.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
801,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
802,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
803,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
804,Ambernath West,1000,40.0,Built-up  Area,Ready To Move,2,BHK,Apartment
805,Santacruz West,2000,1200.0,Built-up  Area,Ready To Move,4,BHK,Apartment
806,Dombivli (West),390,21.45,Built-up  Area,Ready To Move,1,BHK,Apartment
807,Vikroli East,659,114.99999999999999,Super built-up  Area,Ready To Move,2,BHK,Apartment
808,Prabhadevi,1925,900.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
809,Diva Gaon,590,16.52,Built-up  Area,Ready To Move,1,BHK,Apartment
810,Diva Gaon,350,9.8,Super built-up  Area,Ready To Move,1,BHK,Apartment
811,Diva Gaon,350,9.8,Super built-up  Area,Ready To Move,1,BHK,Apartment
812,Diva Gaon,430,12.04,Super built-up  Area,Ready To Move,1,BHK,Apartment
813,Diva Gaon,590,16.52,Built-up  Area,Ready To Move,1,BHK,Apartment
814,Diva Gaon,430,12.04,Super built-up  Area,Ready To Move,1,BHK,Apartment
815,Diva Gaon,510,14.28,Super built-up  Area,Ready To Move,1,BHK,Apartment
816,Diva Gaon,590,16.52,Super built-up  Area,Ready To Move,1,BHK,Apartment
817,Diva Gaon,350,9.8,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
818,Diva Gaon,350,9.8,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
819,Diva Gaon,465,13.02,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
820,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
821,Andheri West,1600,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
822,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
823,Andheri West,1601,20.0,Carpet  Area,Ready To Move,5,BHK,IndependentFloor
824,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
825,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
826,Thakurli,965,65.5,Super built-up  Area,Ready To Move,2,BHK,Apartment
827,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
828,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
829,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
830,Andheri West,1600,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
831,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
832,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
833,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
834,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
835,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
836,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
837,Ambernath West,1000,40.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
838,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
839,Santacruz West,2000,1200.0,Built-up  Area,Ready To Move,4,BHK,Apartment
840,Powai,310,75.0,Super built-up  Area,Ready To Move,1,RK,StudioApartment
841,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
842,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
843,Kalyan West,650,41.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
844,Andheri West,1600,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
845,Byculla,1400,500.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
846,Juhu,2400,1900.0,Super built-up  Area,Ready To Move,4,BHK,Apartment
847,Dombivli (West),545,30.5,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
848,Mira Road East,1020,85.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
849,Mira Road East,1020,115.99999999999999,Super built-up  Area,Ready To Move,2,BHK,Apartment
850,Mira Road East,1070,95.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
851,Mira Road East,1020,96.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
852,Mira Road East,680,65.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
853,Mira Road East,1020,114.99999999999999,Super built-up  Area,Ready To Move,2,BHK,Apartment
854,Mira Road East,1070,89.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
855,Mira Road East,1070,95.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
856,Mira Road East,1050,90.0,Carpet  Area,Not Ready Yet,2,BHK,Apartment
857,Santacruz East,900,195.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
858,Khar West,1200,375.0,Built-up  Area,Ready To Move,3,BHK,Apartment
859,Thane West,1350,100.0,Built-up  Area,Ready To Move,3,BHK,Apartment
860,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
861,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
862,Virar,510,36.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
863,Bhayandar West,760,90.0,Built-up  Area,Ready To Move,1,BHK,Apartment
864,Panvel,2500,150.0,Carpet  Area,Not Ready Yet,4,BHK,Apartment
865,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
866,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
867,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
868,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
869,Thakurli,965,65.5,Super built-up  Area,Ready To Move,2,BHK,Apartment
870,Dombivali,630,34.0,Built-up  Area,Ready To Move,1,BHK,Apartment
871,Malad West,900,160.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
872,Kandivali East,719,187.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
873,Kurla,780,94.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
874,Santacruz West,1400,625.0,Built-up  Area,Ready To Move,3,BHK,Apartment
875,Masjid Bandar,410,69.99,Super built-up  Area,Ready To Move,1,BHK,Apartment
876,Powai,1050,170.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
877,Beturkar Pada,500,20.45,Super built-up  Area,Ready To Move,1,BHK,Apartment
878,Panvel,1024,95.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
879,Andheri West,540,126.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
880,Panvel,1200,95.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
881,Dombivli (West),712,42.72,Super built-up  Area,Ready To Move,1,BHK,Apartment
882,Thane West,665,72.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
883,Ghatkopar West,1000,135.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
884,Kalamboli,1975,148.0,Built-up  Area,Ready To Move,3,BHK,Apartment
885,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
886,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
887,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
888,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
889,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
890,Bhandup West,575,97.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
891,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
892,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
893,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
894,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
895,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
896,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
897,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
898,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
899,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
900,Andheri West,1601,20.0,Plot  Area,Ready To Move,5,BHK,IndependentFloor
901,Badlapur East,640,30.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
902,Badlapur East,640,30.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
903,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
904,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
905,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
906,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
907,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
908,Karanjade,600,32.25,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
909,Dombivali East,560,50.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
910,Thakurli,673,52.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
911,Panvel,850,38.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
912,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
913,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
914,Kamothe,450,31.0,Built-up  Area,Ready To Move,1,BHK,Apartment
915,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
916,Andheri West,650,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
917,Mulund West,880,185.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
918,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
919,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
920,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
921,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
922,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
923,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
924,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
925,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
926,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
927,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
928,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
929,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
930,Andheri West,651,20.0,Plot  Area,Not Ready Yet,1,BHK,Apartment
931,Ghodbander,815,80.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
932,Badlapur East,640,30.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
933,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
934,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
935,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
936,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
937,Palghar,860,38.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
938,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
939,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
940,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
941,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
942,Andheri West,651,20.0,Plot  Area,Ready To Move,1,BHK,Apartment
943,Ghodbander,815,80.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
944,Badlapur East,640,30.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
945,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
946,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
947,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
948,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
949,Palghar,860,38.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
950,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
951,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
952,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
953,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
954,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
955,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
956,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
957,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
958,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
959,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
960,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
961,Dadar West,3000,200.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
962,Dadar West,2000,175.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
963,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
964,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
965,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
966,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
967,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
968,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
969,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
970,Andheri West,651,20.0,Plot  Area,Ready To Move,1,BHK,Apartment
971,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
972,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
973,Karanjade,600,32.25,Super built-up  Area,Ready To Move,1,BHK,Apartment
974,Dombivali East,560,50.0,Built-up  Area,Ready To Move,1,BHK,Apartment
975,Thakurli,673,52.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
976,Panvel,850,38.0,Built-up  Area,Ready To Move,2,BHK,Apartment
977,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
978,Andheri West,611,100.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
979,Koper Khairane,840,95.0,Built-up  Area,Ready To Move,2,BHK,Apartment
980,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
981,Andheri West,651,20.0,Plot  Area,Ready To Move,1,BHK,Apartment
982,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
983,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
984,Prabhadevi,1925,900.0,Built-up  Area,Not Ready Yet,3,BHK,Apartment
985,Diva Gaon,590,16.52,Super built-up  Area,Ready To Move,1,BHK,Apartment
986,Diva Gaon,350,9.8,Built-up  Area,Ready To Move,1,BHK,Apartment
987,Diva Gaon,350,9.8,Built-up  Area,Ready To Move,1,BHK,Apartment
988,Diva Gaon,430,12.04,Super built-up  Area,Ready To Move,1,BHK,Apartment
989,Diva Gaon,590,16.52,Super built-up  Area,Ready To Move,1,BHK,Apartment
990,Diva Gaon,430,12.04,Super built-up  Area,Ready To Move,1,BHK,Apartment
991,Diva Gaon,510,14.28,Built-up  Area,Ready To Move,1,BHK,Apartment
992,Diva Gaon,590,16.52,Super built-up  Area,Ready To Move,1,BHK,Apartment
993,Diva Gaon,350,9.8,Super built-up  Area,Ready To Move,1,BHK,Apartment
994,Diva Gaon,350,9.8,Super built-up  Area,Ready To Move,1,BHK,Apartment
995,Diva Gaon,465,13.02,Super built-up  Area,Ready To Move,1,BHK,Apartment
996,Diva Gaon,430,12.04,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
997,Diva Gaon,350,9.8,Super built-up  Area,Ready To Move,1,BHK,Apartment
998,Datiwali Gaon,465,13.95,Built-up  Area,Ready To Move,1,BHK,Apartment
999,Diva Gaon,465,13.95,Super built-up  Area,Ready To Move,1,BHK,Apartment
1000,Titwala,800,32.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1001,Andheri West,651,20.0,Plot  Area,Ready To Move,1,BHK,Apartment
1002,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
1003,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
1004,Kurla West,700,165.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1005,Andheri West,650,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1006,Andheri West,1600,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
1007,Andheri West,1600,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1008,Andheri East,650,175.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1009,Malad East,1300,295.0,Built-up  Area,Ready To Move,3,BHK,IndependentHouse
1010,Diva Gaon,350,9.8,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1011,Thane West,1350,100.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1012,Andheri West,1600,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1013,Girgaon,2200,395.0,Carpet  Area,Ready To Move,4,BHK,Apartment
1014,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1015,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1016,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1017,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
1018,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1019,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1020,Kurla,780,94.0,Built-up  Area,Not Ready Yet,1,BHK,Apartment
1021,Santacruz West,1400,625.0,Built-up  Area,Ready To Move,3,BHK,Apartment
1022,Masjid Bandar,410,69.99,Super built-up  Area,Ready To Move,1,BHK,Apartment
1023,Powai,1050,170.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1024,Beturkar Pada,500,20.45,Super built-up  Area,Ready To Move,1,BHK,Apartment
1025,Panvel,1024,95.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1026,Andheri West,540,126.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1027,Panvel,1200,95.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1028,Dombivli (West),712,42.72,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1029,Thane West,665,72.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1030,Ghatkopar West,1000,135.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1031,Kalamboli,1975,148.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1032,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1033,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1034,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1035,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1036,Virar,510,36.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1037,Bhayandar West,760,90.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1038,Panvel,2500,150.0,Plot  Area,Ready To Move,4,BHK,Apartment
1039,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1040,Boisar,670,28.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1041,Andheri West,1600,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
1042,Titwala,800,32.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1043,Kalyan West,650,41.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1044,Andheri West,1600,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1045,Ambernath East,600,24.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1046,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1047,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
1048,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1049,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1050,Andheri West,650,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1051,Andheri West,1600,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1052,Andheri West,1600,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1053,Andheri West,650,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1054,Andheri West,1600,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
1055,Dombivali,1075,51.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1056,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
1057,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1058,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1059,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
