,Location,Total sqft,price,area_type,availability,bhk,type,housing_type
77,Vangani,489,13.19,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
78,Malad East,435,100.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
79,Kurla,540,114.99999999999999,Super built-up  Area,Ready To Move,2,BHK,Apartment
81,Titwala,598,39.5,Super built-up  Area,Ready To Move,2,BHK,Apartment
82,Diva,699,37.19,Super built-up  Area,Ready To Move,1,BHK,Apartment
83,Diva,465,23.99,Super built-up  Area,Not Ready Yet,1,RK,StudioApartment
84,Diva,713,37.99,Super built-up  Area,Ready To Move,1,BHK,Apartment
85,Kamothe,515,75.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
86,Thane West,679,124.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
87,Thane West,887,187.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
88,Bhiwandi,1045,54.34,Super built-up  Area,Ready To Move,2,BHK,Apartment
89,Bhiwandi,690,35.88,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
90,Bhiwandi,1085,56.42,Super built-up  Area,Ready To Move,2,BHK,Apartment
91,Bhiwandi,1060,55.12,Super built-up  Area,Ready To Move,2,BHK,Apartment
92,Bhiwandi,795,41.34,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
93,Virar,692,53.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
94,Virar,487,36.99,Super built-up  Area,Ready To Move,1,BHK,Apartment
95,Dahisar,440,95.51,Built-up  Area,Ready To Move,1,BHK,Apartment
96,Dahisar,650,145.0,Built-up  Area,Ready To Move,2,BHK,Apartment
97,Thane West,644,154.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
98,Diva,936,51.49,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
99,Diva,445,22.99,Super built-up  Area,Ready To Move,1,RK,StudioApartment
100,Neral,408,25.29,Super built-up  Area,Ready To Move,1,BHK,Apartment
101,Kandivali West,398,130.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
102,Kandivali West,632,200.0,Built-up  Area,Ready To Move,2,BHK,Apartment
103,Malad East,625,140.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
104,Malad East,580,130.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
105,Malad East,710,159.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
106,Malad East,618,139.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
107,Powai,770,296.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
108,Powai,1232,473.00000000000006,Built-up  Area,Ready To Move,3,BHK,Apartment
109,Powai,767,294.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
110,Dahisar,374,80.41,Super built-up  Area,Ready To Move,1,BHK,Apartment
111,Dahisar,425,91.37,Super built-up  Area,Ready To Move,1,BHK,Apartment
112,Dahisar,416,89.44,Super built-up  Area,Ready To Move,1,BHK,Apartment
113,Dahisar,438,94.17,Super built-up  Area,Ready To Move,1,BHK,Apartment
114,Rasayani,302,21.3,Super built-up  Area,Ready To Move,1,BHK,Apartment
115,Rasayani,514,34.0,Built-up  Area,Ready To Move,2,BHK,Apartment
116,Rasayani,455,29.5,Built-up  Area,Ready To Move,2,BHK,Apartment
117,Rasayani,651,42.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
118,Rasayani,568,40.25,Super built-up  Area,Ready To Move,2,BHK,Apartment
119,Rasayani,421,26.5,Super built-up  Area,Ready To Move,1,BHK,Apartment
120,Badlapur West,368,25.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
121,Badlapur West,485,32.35,Super built-up  Area,Ready To Move,2,BHK,Apartment
122,Chembur,834,214.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
123,Chembur,841,216.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
124,Chembur,825,211.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
125,Chembur,775,183.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
126,Chembur,528,135.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
127,Chembur,511,131.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
128,Chembur,739,175.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
129,Chembur,507,130.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
130,Chembur,506,130.0,Built-up  Area,Ready To Move,2,BHK,Apartment
131,Chembur,684,212.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
132,Chembur,617,191.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
133,Kurla,447,97.99,Super built-up  Area,Ready To Move,1,BHK,Apartment
