size,Location,Total sqft,price_sqft,price,area_type,availability
1 BHK Apartment,Karjat,400,"3,125",12.5 L,Built-up  Area,Ready To Move
2 BHK Apartment,Karjat,850,"3,176",27 L,Super built-up  Area,Not Ready Yet
2,Shahapur,1500,"5,000",75 L,Super built-up  Area,Ready To Move
1,Bhayandar West,250,"8,400",21 L,Super built-up  Area,Not Ready Yet
2,Kharghar,976,"8,196",80 L,Built-up  Area,Ready To Move
2,Ambernath West,500,"2,500",12.5 L,Built-up  Area,Ready To Move
2 BHK Apartment,Malad East,1160,"2,478",28.75 L,Super built-up  Area,Ready To Move
3,Mulund West,910,"17,582",1.6 Cr,Built-up  Area,Ready To Move
2,Dahisar East,920,"15,217",1.4 Cr,Super built-up  Area,Not Ready Yet
4 BHK Apartment,Vasai,1700,"5,117",87 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Thane West,550,"4,545",25 L,Super built-up  Area,Ready To Move
1,Dombivli (West),485,"5,500",26.67 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Karanjade,675,"7,111",48 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Dadar West,2300,"41,304",9.5 Cr,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Panvel,700,"4,000",28 L,Built-up  Area,Not Ready Yet
1 BHK Apartment,Dombivali,500,"5,520",27.6 L,Super built-up  Area,Not Ready Yet
1,Dombivali East,445,"5,505",24.5 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Thane West,1037,"12,536",1.3 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Panvel,1000,"6,200",62 L,Super built-up  Area,Ready To Move
2,Ambernath East,879,"3,427",30.13 L,Super built-up  Area,Not Ready Yet
1,Ambernath East,679,"3,406",23.13 L,Super built-up  Area,Ready To Move
1,Ambernath East,645,"3,432",22.14 L,Super built-up  Area,Not Ready Yet
1,Virar East,530,"3,773",20 L,Super built-up  Area,Ready To Move
1,Kumbharkhan Pada,360,"4,166",15 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Kandivali West,1250,"13,200",1.65 Cr,Built-up  Area,Ready To Move
1,Panvel,446,"8,968",40 L,Plot  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Plot  Area,Ready To Move
2 BHK Apartment,Ghatkopar East,770,"23,376",1.8 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Ghatkopar East,770,"23,376",1.8 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Ghatkopar East,770,"23,376",1.8 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Ghatkopar East,770,"23,376",1.8 Cr,Built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
2 BHK Apartment,Anjurdive,660,"10,000",66 L,Built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Plot  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,650,"3,076",20 L,Plot  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1,Dombivali East,578,"4,325",25 L,Plot  Area,Ready To Move
3 BHK Apartment,Boisar,1200,"3,325",39.9 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1,Andheri East,500,"18,000",90 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Plot  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5,Nerul,2200,"18,181",4 Cr,Super built-up  Area,Ready To Move
2,Kandivali West,775,"23,225",1.8 Cr,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Ambernath West,960,"4,166",40 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
2,Vasai West,1125,"6,577",74 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Palghar,530,"3,820",20.25 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,1070,"7,383",79 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Napeansea Road,2250,"57,777",13 Cr,Built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
2,Neral,1450,"5,172",75 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Plot  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
1,Dombivali East,305,"4,918",15 L,Built-up  Area,Ready To Move
1,Dombivali East,305,"4,918",15 L,Super built-up  Area,Ready To Move
1,Dombivali East,305,"4,918",15 L,Super built-up  Area,Ready To Move
1,Dombivali East,305,"4,918",15 L,Super built-up  Area,Ready To Move
1,Dombivli (West),560,"5,100",28.56 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,650,"3,076",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Ulwe,670,"7,388",49.5 L,Super built-up  Area,Ready To Move
1,Belapur,550,"4,545",25 L,Super built-up  Area,Ready To Move
2,Kamothe,1065,"9,389",1 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Kalyan West,1075,"7,162",77 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,850,"5,635",47.9 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,864,"7,638",66 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Ambernath East,600,"4,000",24 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,650,"3,076",20 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1600,"1,250",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1600,"1,250",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,650,"3,076",20 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Napeansea Road,2250,"57,777",13 Cr,Plot  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
2,Neral,1450,"5,172",75 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
5,Nerul,2200,"18,181",4 Cr,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
1,Dombivali East,578,"4,325",25 L,Super built-up  Area,Not Ready Yet
1,Dombivli (West),515,"5,000",25.75 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
3,Vishnu Nagar,1300,"5,700",74.1 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Jogeshwari East,1685,"22,255",3.75 Cr,Built-up  Area,Ready To Move
4,Airoli,1800,"15,555",2.8 Cr,Super built-up  Area,Ready To Move
1,Andheri East,500,"18,000",90 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Anjurdive,660,"10,000",66 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Nilje Gaon,909,"6,600",60 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Ambernath West,1000,"4,000",40 L,Built-up  Area,Ready To Move
4 BHK Apartment,Santacruz West,2000,"60,000",12 Cr,Built-up  Area,Ready To Move
1,Dombivli (West),390,"5,500",21.45 L,Built-up  Area,Ready To Move
2,Vikroli East,659,"17,450",1.15 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Prabhadevi,1925,"46,753",9 Cr,Super built-up  Area,Ready To Move
1,Diva Gaon,590,"2,800",16.52 L,Built-up  Area,Ready To Move
1,Diva Gaon,350,"2,800",9.8 L,Super built-up  Area,Ready To Move
1,Diva Gaon,350,"2,800",9.8 L,Super built-up  Area,Ready To Move
1,Diva Gaon,430,"2,800",12.04 L,Super built-up  Area,Ready To Move
1,Diva Gaon,590,"2,800",16.52 L,Built-up  Area,Ready To Move
1,Diva Gaon,430,"2,800",12.04 L,Super built-up  Area,Ready To Move
1,Diva Gaon,510,"2,800",14.28 L,Super built-up  Area,Ready To Move
1,Diva Gaon,590,"2,800",16.52 L,Super built-up  Area,Ready To Move
1,Diva Gaon,350,"2,800",9.8 L,Super built-up  Area,Not Ready Yet
1,Diva Gaon,350,"2,800",9.8 L,Super built-up  Area,Not Ready Yet
1,Diva Gaon,465,"2,800",13.02 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1600,"1,250",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Carpet  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
2,Thakurli,965,"6,787",65.5 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1600,"1,250",20 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
2 BHK Apartment,Ambernath West,1000,"4,000",40 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
4 BHK Apartment,Santacruz West,2000,"60,000",12 Cr,Built-up  Area,Ready To Move
1 RK Studio Apartment,Powai,310,"24,193",75 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
1,Kalyan West,650,"6,307",41 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1600,"1,250",20 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Byculla,1400,"35,714",5 Cr,Super built-up  Area,Ready To Move
4 BHK Apartment,Juhu,2400,"79,166",19 Cr,Super built-up  Area,Ready To Move
1,Dombivli (West),545,"5,596",30.5 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mira Road East,1020,"8,333",85 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mira Road East,1020,"11,372",1.16 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,1070,"8,878",95 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,1020,"9,411",96 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,680,"9,558",65 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,1020,"11,274",1.15 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,1070,"8,317",89 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mira Road East,1070,"8,878",95 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,1050,"8,571",90 L,Carpet  Area,Not Ready Yet
2 BHK Apartment,Santacruz East,900,"21,666",1.95 Cr,Super built-up  Area,Ready To Move
3,Khar West,1200,"31,250",3.75 Cr,Built-up  Area,Ready To Move
3 BHK Apartment,Thane West,1350,"7,407",1 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Virar,510,"7,058",36 L,Super built-up  Area,Not Ready Yet
1,Bhayandar West,760,"11,842",90 L,Built-up  Area,Ready To Move
4,Panvel,2500,"6,000",1.5 Cr,Carpet  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
2,Thakurli,965,"6,787",65.5 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,630,"5,396",34 L,Built-up  Area,Ready To Move
2 BHK Apartment,Malad West,900,"17,777",1.6 Cr,Super built-up  Area,Ready To Move
2,Kandivali East,719,"26,008",1.87 Cr,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Kurla,780,"12,051",94 L,Super built-up  Area,Ready To Move
3,Santacruz West,1400,"44,642",6.25 Cr,Built-up  Area,Ready To Move
1,Masjid Bandar,410,"17,073",69.99 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Powai,1050,"16,190",1.7 Cr,Super built-up  Area,Ready To Move
1,Beturkar Pada,500,"4,090",20.45 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Panvel,1024,"9,277",95 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,540,"23,333",1.26 Cr,Super built-up  Area,Ready To Move
2,Panvel,1200,"7,916",95 L,Super built-up  Area,Ready To Move
1,Dombivli (West),712,"6,000",42.72 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Thane West,665,"10,827",72 L,Super built-up  Area,Ready To Move
2,Ghatkopar West,1000,"13,500",1.35 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Kalamboli,1975,"7,493",1.48 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Bhandup West,575,"16,869",97 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Plot  Area,Ready To Move
1 BHK Apartment,Badlapur East,640,"4,687",30 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Badlapur East,640,"4,687",30 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Karanjade,600,"5,375",32.25 L,Super built-up  Area,Not Ready Yet
1,Dombivali East,560,"8,928",50 L,Super built-up  Area,Ready To Move
1,Thakurli,673,"7,726",52 L,Super built-up  Area,Not Ready Yet
2,Panvel,850,"4,470",38 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1,Kamothe,450,"6,888",31 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,650,"3,076",20 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,880,"21,022",1.85 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Plot  Area,Not Ready Yet
2,Ghodbander,815,"9,815",80 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Badlapur East,640,"4,687",30 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Palghar,860,"4,418",38 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Plot  Area,Ready To Move
2,Ghodbander,815,"9,815",80 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Badlapur East,640,"4,687",30 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
2 BHK Apartment,Palghar,860,"4,418",38 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dadar West,3000,"6,666",2 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Dadar West,2000,"8,750",1.75 Cr,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Plot  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Karanjade,600,"5,375",32.25 L,Super built-up  Area,Ready To Move
1,Dombivali East,560,"8,928",50 L,Built-up  Area,Ready To Move
1,Thakurli,673,"7,726",52 L,Super built-up  Area,Ready To Move
2,Panvel,850,"4,470",38 L,Built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
1,Andheri West,611,"16,366",1 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Koper Khairane,840,"11,309",95 L,Built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Plot  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Built-up  Area,Ready To Move
3 BHK Apartment,Prabhadevi,1925,"46,753",9 Cr,Built-up  Area,Not Ready Yet
1,Diva Gaon,590,"2,800",16.52 L,Super built-up  Area,Ready To Move
1,Diva Gaon,350,"2,800",9.8 L,Built-up  Area,Ready To Move
1,Diva Gaon,350,"2,800",9.8 L,Built-up  Area,Ready To Move
1,Diva Gaon,430,"2,800",12.04 L,Super built-up  Area,Ready To Move
1,Diva Gaon,590,"2,800",16.52 L,Super built-up  Area,Ready To Move
1,Diva Gaon,430,"2,800",12.04 L,Super built-up  Area,Ready To Move
1,Diva Gaon,510,"2,800",14.28 L,Built-up  Area,Ready To Move
1,Diva Gaon,590,"2,800",16.52 L,Super built-up  Area,Ready To Move
1,Diva Gaon,350,"2,800",9.8 L,Super built-up  Area,Ready To Move
1,Diva Gaon,350,"2,800",9.8 L,Super built-up  Area,Ready To Move
1,Diva Gaon,465,"2,800",13.02 L,Super built-up  Area,Ready To Move
1,Diva Gaon,430,"2,800",12.04 L,Super built-up  Area,Not Ready Yet
1,Diva Gaon,350,"2,800",9.8 L,Super built-up  Area,Ready To Move
1,Datiwali Gaon,465,"3,000",13.95 L,Built-up  Area,Ready To Move
1,Diva Gaon,465,"3,000",13.95 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Titwala,800,"4,000",32 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,651,"3,072",20 L,Plot  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Not Ready Yet
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Built-up  Area,Ready To Move
2,Kurla West,700,"23,571",1.65 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,650,"3,076",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1600,"1,250",20 L,Built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1600,"1,250",20 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Andheri East,650,"26,923",1.75 Cr,Super built-up  Area,Ready To Move
3 BHK Independent House,Malad East,1300,"22,692",2.95 Cr,Built-up  Area,Ready To Move
1,Diva Gaon,350,"2,800",9.8 L,Super built-up  Area,Not Ready Yet
