size,Location,Total sqft,price_sqft,price,area_type,availability
1 BHK Apartment,Chembur,320,"21,844",69.9 L,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Taloja,928,"6,573",61 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,410,"9,268",38 L,Built-up  Area,Ready To Move
1 BHK Apartment,Malad West,469,"19,190",90 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Vasai,575,"4,782",27.5 L,Super built-up  Area,Not Ready Yet
1 RK Studio Apartment,Panvel,263,"7,034",18.49 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Karjat,427,"5,929",25.31 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Ulwe,590,"7,627",45 L,Super built-up  Area,Ready To Move
1,Badlapur East,525,"4,380",23 L,Built-up  Area,Ready To Move
1 BHK Apartment,Titwala,442,"6,674",29.5 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Diva,715,"5,523",39.49 L,Plot  Area,Ready To Move
2 BHK Apartment,Kamothe,628,"14,331",90 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Thane West,515,"23,300",1.2 Cr,Built-up  Area,Ready To Move
4 BHK Apartment,Thane West,1300,"19,538",2.54 Cr,Plot  Area,Ready To Move
1 BHK Apartment,Bhiwandi,740,"5,200",38.48 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Virar,445,"7,674",34.14 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dahisar,410,"21,708",89 L,Built-up  Area,Ready To Move
1 BHK Apartment,Neral,321,"6,199",19.89 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Kandivali West,644,"31,677",2.04 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Malad East,670,"22,500",1.5 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Dronagiri,650,"8,923",57.99 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Powai,1239,"38,461",4.76 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Dahisar,542,"21,500",1.16 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Taloja,585,"7,265",42.5 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Rasayani,343,"6,851",23.5 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Borivali East,567,"25,573",1.45 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Badlapur West,520,"6,923",36 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Chembur,522,"25,692",1.34 Cr,Built-up  Area,Ready To Move
3 BHK Apartment,Chembur,917,"31,000",2.84 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Kurla,476,"21,968",1.04 Cr,Built-up  Area,Ready To Move
3 BHK Apartment,Malad West,999,"21,000",2.09 Cr,Plot  Area,Ready To Move
1 BHK Apartment,Rasayani,320,"8,830",28.25 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Neral,329,"5,775",19 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Fort,739,"39,918",2.95 Cr,Built-up  Area,Ready To Move
3 BHK Apartment,Dombivali,917,"10,359",95 L,Super built-up  Area,Not Ready Yet
